Company,Symbol,Managers,Offer Date,Offer Price,1st Day Close,Current Price,Return
Alarm.com Holdings,ALRM,Goldman Sachs/ Credit Suisse/ BofA Merrill Lynch,6-26-15,$14.00,$16.88,$16.05,20.57%
AppFolio,APPF,Morgan Stanley/ Credit Suisse,6-26-15,$12.00,$14.08,$12.15,17.33%
Green Plains Partners LP,GPP,Barclays/ BofA Merrill Lynch/ Credit Suisse/ Macquarie Capital/ RBC Capital Markets,6-26-15,$15.00,$15.00,$15.23,0.00%
Seres Therapeutics,MCRB,Goldman Sachs/ BofA Merrill Lynch,6-26-15,$18.00,$51.40,$31.36,185.56%
Xactly,XTLY,J.P. Morgan/ Deutsche Bank Securities/ UBS Investment Bank,6-26-15,$8.00,$8.70,$8.00,8.75%
Yulong Eco-Materials,YECO,Axiom Capital Management/ Northland Capital Markets/ ViewTrade Securities,6-26-15,$6.25,$6.17,$6.25,-1.28%
CNX Coal Resources LP,CNXC,BofA Merrill Lynch/ Wells Fargo Securities/ Jefferies / Scotia Howard Weil/ Citigroup/ Credit Suisse/ J.P. Morgan/ Evercore ISI / BB&T Capital Markets/ Goldman Sachs/ The Huntington Investment Company/ Stifel/ Nomura,7-1-15,$15.00,$15.41,$15.00,2.73%
ConforMIS,CFMS,J.P. Morgan/ Deutsche Bank Securities,7-1-15,$15.00,$19.25,$18.00,28.33%
Teladoc,TDOC,J.P. Morgan/ Deutsche Bank Securities,7-1-15,$19.00,$28.50,$29.90,50.00%
Unique Fabricating,UFAB,Roth Capital Partners/ Taglich Brothers,7-1-15,$9.50,$13.49,$12.50,42.00%
Natera,NTRA,Morgan Stanle/ Cowen and Company/ Piper Jaffray,7-2-15,$18.00,$22.74,$22.10,26.33%
Chiasma,CHMA,Barclays/ Cowen and Company,7-16-15,$16.00,$20.00,$20.99,25.00%
Jupai Holdings,JP,Credit Suisse/ China Renaissance,7-16-15,$10.00,$11.08,$10.41,10.80%
Ollie's Bargain Outlet Holdings,OLLI,J.P. Morgan/ Jefferies/ BofA Merrill Lynch,7-16-15,$16.00,$21.15,$21.27,32.19%
ProNAi Therapeutics,DNAI,Jefferies/ BofA Merrill Lynch,7-16-15,$17.00,$30.80,$28.68,81.18%
MCBC Holdings,MCFT,Baird/ Raymond James/ Wells Fargo Securities,7-17-15,$15.00,$15.92,$15.50,6.13%
Ooma,OOMA,Credit Suisse/ BofA Merrill Lynch,7-17-15,$13.00,$10.95,$12.10,-15.77%
Rapid7,RPD,Morgan Stanley/ Barclays,7-17-15,$16.00,$25.28,$26.75,58.00%
Blue Buffalo Pet Products,BUFF,J.P. Morgan/ Citigroup,7-22-15,$20.00,$27.20,$27.00,36.00%
Hennessy Capital Acquisition Corp II,HCACU,UBS Investment Bank/ Cantor Fitzgerald/ BMO Capital Markets,7-23-15,$10.00,$10.00,$10.00,0.00%
Live Oak Bancshares,LOB,"Sandler O’Neill & Partners, L.P",7-23-15,$17.00,$19.07,$18.50,12.18%
Neos Therapeutics,NEOS,UBS Investment Bank/ BMO Capital Markets/ RBC Capital Markets,7-23-15,$15.00,$19.54,$18.22,30.27%
JM Global Holding,WYIGU,Cantor Fitzgerald,7-24-15,$10.00,$10.06,$10.00,0.60%
NantKwest,NK,BofA Merrill Lynch/ Citigroup/ Jefferies/ Piper Jaffray,7-28-15,$25.00,$34.64,$37.00,38.56%
Easterly Acquisition,EACQU,Citigroup,7-30-15,$10.00,$9.99,$10.00,-0.10%
Global Partner Acquisition,GPACU,Deutsche Bank Securities,7-30-15,$10.00,$10.03,$10.01,0.30%
vTv Therapeutics,VTV,Piper Jaffray/ Stifel,7-30-15,$15.00,$10.89,$14.00,-27.40%
TerraForm Global,GLBL,J.P. Morgan/ Barclays/ Citigroup/ Morgan Stanley,7-31-15,$15.00,$14.00,$14.00,-6.67%
Aqua Metals,AQMS,National Securities Corporation,7-31-15,$5.00,$5.35,$6.50,7.00%
Amplify Snack Brands,BETR,Goldman Sachs/ Jefferies/ Credit Suisse,8-5-15,$18.00,$16.14,$17.00,-10.33%
Sunrun,RUN,Credit Suisse/ Goldman Sachs/ Morgan Stanley,8-5-15,$14.00,$10.77,$13.06,-23.07%
Zynerba Pharmeceuticals,ZYNE,Jefferies/ Piper Jaffray,8-5-15,$14.00,$16.25,$18.00,16.07%
Aimmune Therapeutics,AIMT,BofA Merrill Lynch/ Credit Suisse/ Piper Jaffray,8-6-15,$16.00,$24.10,$17.50,50.63%
Planet Fitness,PLNT,J.P. Morgan Securities Merrill Lynch/ Jefferies/ Credit Suisse Securities,8-6-15,$16.00,$16.00,$14.50,0.00%
Global Blood Therapeutics,GBT,Morgan Stanley/ Goldman Sachs,8-12-15,$20.00,$43.11,$34.65,115.55%
Conifer Holdings,CNFR,BMO Capital Markets/ Raymond James,8-13-15,$10.50,$10.50,$9.75,0.00%
E-compass Acquisition,ECACU,Cantor Fitzgerald,8-13-15,$10.00,$10.04,$10.05,0.40%
Houlihan Lokey,HLI,BofA Merrill Lynch/ Goldman Sachs,8-13-15,$21.00,$22.40,$22.11,6.67%
Gores Holdings,GRSHU,Deutsche Bank Securities,8-14-15,$10.00,$10.49,$10.03,4.90%
Double Eagle Acquisition,EAGLU,Deutsche Bank Securities/ BofA Merrill Lynch,9-11-15,$10.00,$10.05,$10.01,0.50%
Pace Holdings,PACEU,Deutsche Bank Securities/ Citigroup,9-11-15,$10.00,$10.11,$10.10,1.10%
REGENXBIO Inc.,RGNX,Morgan Stanley/ BofA Merrill Lynch/ Piper Jaffray,9-17-15,$22.00,$30.45,$30.26,38.41%
Nabriva Therapeutics AG,NBRV,Leerink Partners/ RBC Capital Markets,9-18-15,$10.25,$13.24,$11.39,29.17%
Penumbra,PEN,J.P. Morgan/ BofA Merrill Lynch,9-18-15,$30.00,$41.30,$40.00,37.67%
Boulevard Acquisition Corp. II,BLVDU,Citigroup,9-22-15,$10.00,$9.96,$10.00,-0.40%
Edge Therapeutics,EDGE,Leerink Partners/ Credit Suisse,10-1-15,$11.00,$12.94,$11.60,17.64%
Mirna Therapeutics,MIRN,Citigroup/ Leerink Partners,10-1-15,$7.00,$7.04,$7.25,0.57%
Performance Food Group,PFGC,Credit Suisse/ Barclays/ Wells Fargo Securities/ Morgan Stanley,10-1-15,$19.00,$19.20,$19.00,1.05%
Surgery Partners,SGRY,BofA Merrill Lynch/ Goldman Sachs/ Jefferies,10-1-15,$19.00,$18.11,$17.45,-4.68%
NovoCure,NVCR,J.P. Morgan/ Deutsche Bank Securities/ Evercore ISI/ Wells Fargo Securities,10-2-15,$22.00,$18.28,$19.23,-16.91%
Aclaris Therapeutics,ACRS,Jefferies/ Citigroup,10-7-15,$11.00,$11.05,$11.94,0.45%
Pure Storage,PSTG,Morgan Stanley/ Goldman Sachs/ Barclays/ Allen & Company/ BofA Merrill Lynch,10-7-15,$17.00,$16.01,$16.74,-5.82%
Allegiance Bancshares,ABTX,Baird/ Stephens,10-8-15,$21.00,$23.12,$22.31,10.10%
CytomX Therapeutics,CTMX,BofA Merrill Lynch/ Jefferies/ Cowen and Company,10-8-15,$12.00,$12.90,$15.60,7.50%
CPI Card Group,PMTS,BMO Capital Markets/ Goldman Sachs/ CIBC,10-9-15,$10.00,$12.17,$11.00,21.70%
Capitol Acquisition Corp. III,CLACU,Citigroup/ Deutsche Bank Securities/ Credit Suisse,10-14-15,$10.00,$10.00,$10.00,0.00%
Cerecor,CERCU,Maxim Group LLC,10-14-15,$6.50,$6.40,$6.59,-1.54%
First Data,FDC,Citigroup/ Morgan Stanley/ BofA Merrill Lynch/ KKR/ Barclays/ Credit Suisse/ Deutsche Bank Securities/ Goldman Sachs/ HSBC/ Mizuho Securities/ PNC Capital Markets/ SunTrust Robinson Humphrey/ Wells Fargo Securities,10-14-15,$16.00,$15.75,$16.39,-1.56%
Pacific Special Acquisition,PAACU,EarlyBirdCapital,10-14-15,$10.00,$10.03,$10.02,0.30%
American Farmland,AFCO,Deutsche Bank Securities/ Citigroup/ Raymond James/ RBC Capital Markets/ FBR,10-19-15,$8.00,$6.93,$7.00,-13.38%
Ferrari N.V.,RACE,UBS Investment Bank/ BofA Merrill Lynch/ Santander,10-21-15,$52.00,$55.00,$60.00,5.77%
Multi Packaging Solutions International,MPSX,BofA Merrill Lynch/ Barclays/ Citigroup,10-21-15,$13.00,$15.83,$13.25,21.77%
Dimension Therapeutics,DMTX,Goldman Sachs/ Citigroup/ Wells Fargo Securities,10-22-15,$13.00,$10.80,$12.60,-16.92%
Adesto Technologies,IOTS,Needham & Company/ Oppenheimer & Co.,10-27-15,$5.00,$5.90,$5.60,18.00%
MyoKardia,MYOK,Credit Suisse/ Cowen and Company,10-29-15,$10.00,$10.53,$11.08,5.30%
Advanced Accelerator Applications S.A.,AAAP,Citigroup/ Jefferies​ ​,11-11-15,$16.00,$24.50,$18.50,53.13%
Equity Bancshares,EQBK,"Keefe, Bruyette & Woods (A Stifel Company)/ Stephens",11-11-15,$22.50,$23.89,$24.25,6.18%
Voyager Therapeutics,VYGR,Cowen and Company/ Piper Jaffray,11-11-15,$14.00,$17.75,$15.10,26.79%
Wave Life Sciences Pte Ltd.,WVE,Jefferies/ Leerink Partners,11-11-15,$16.00,$16.00,$17.05,0.00%
Instructure,INST,Morgan Stanley/ Goldman Sachs/ Jefferies,11-13-15,$16.00,$18.00,$16.00,12.50%
Xtera Communications,XCOM,Needham & Company/ Cowen and Company/ BMO Capital Markets,11-13-15,$5.00,$5.00,$5.15,0.00%
Match Group,MTCH,J.P. Morgan/ Allen & Company/ BofA Merrill Lynch,11-18-15,$12.00,$14.74,$13.50,22.83%
Axsome Therapeutics,AXSM,Ladenburg Thalmann,11-19-15,$9.00,$9.07,$9.00,0.78%
Mimecast Ltd.,MIME,Goldman Sachs/ Barclays/ Jefferies/ RBC Capital Markets,11-19-15,$10.00,$10.10,$11.00,1.00%
Square,SQ,Goldman Sachs/ Morgan Stanley/ J.P. Morgan,11-19-15,$9.00,$13.07,$11.20,45.22%
Duluth Holdings,DLTH,William Blair/ Baird/ Raymond James/ BMO Capital Markets,11-20-15,$12.00,$13.36,$5.15,11.33%
Andina Acquisition Corp. II,ANDAU,"EarlyBirdCapital, Inc.",11-25-15,$10.00,$9.90,$9.97,-1.00%
Atlassian Corporation Plc,TEAM,Goldman Sachs/ Morgan Stanley,12-10-15,$21.00,$27.78,$27.67,32.29%
Yirendai Ltd.,YRD,Morgan Stanley/ Credit Suisse/ China Renaissance,12-18-15,$10.00,$9.10,$10.00,-9.00%
GlycoMimetics,GLYC,Jefferies/ Barclays,1-10-14,$8.00,$9.01,$10.40,12.63%
"Cypress Energy Partners, L.P.",CELP,Raymond James/ Baird/ Stifel,1-15-14,$20.00,$21.30,$20.00,6.50%
American Capital Senior Floating,ACSF,"Morgan Stanley/ Citigroup/ Deutsche Bank Securities/ Keefe, Bruyette & Woods (A Stifel Company)/ UBS Investment Bank",1-16-14,$15.00,$13.38,$13.25,-10.80%
CHC Group Ltd.,HELI,J.P. Morgan/ Barclays/ UBS Investment Bank,1-17-14,$10.00,$9.80,$9.30,-2.00%
EP Energy,EPE,Credit Suisse/ J.P. Morgan/ Citigroup/ Goldman Sachs/ Morgan Stanley/ Deutsche Bank Securities/ UBS Investment Bank/ BMO Capital Markets/ RBC Capital Markets/ Wells Fargo Securities,1-17-14,$20.00,$18.08,$19.90,-9.60%
Hennessy Capital Acquisition  (HCACU) (u),HCACU,Deutsche Bank Securities,1-17-14,$10.00,$10.02,$10.00,0.20%
RSP Permian,RSPP,"Barclays/ J.P. Morgan/ Tudor, Pickering, Holt/ Raymond James/ RBC Capital Markets/ UBS Investment Bank",1-17-14,$19.50,$20.15,$20.50,3.33%
Santander Consumer USA Holdings,SC,Citigroup/ J.P. Morgan/BofA Merrill Lynch/ Deutsche Bank Securities/ Santander/ Barclays/ Goldman Sachs/ Morgan Stanley/ RBC Capital Markets/ BMO Capital Markets/ Credit Suisse/ UBS Investment Bank/ Wells Fargo Securities,1-23-14,$24.00,$25.28,$25.75,5.33%
Care.com,CRCM,Morgan Stanley/ BofA Merrill Lynch/ J.P. Morgan,1-24-14,$17.00,$24.30,$21.21,42.94%
Rice Energy,RICE,Barclays/ Citigroup/ Goldman Sachs/ Wells Fargo Securities/ BMO Capital Markets/ RBC Capital Markets,1-24-14,$21.00,$21.90,$21.90,4.29%
Celladon,CLDN,Barclays,1-30-14,$8.00,$8.18,$9.90,2.25%
Dicerna Pharmaceuticals,DRNA,Jefferies/ Leerink Swann/ Stifel,1-30-14,$15.00,$46.00,$30.00,206.67%
Cara Therapeutics,CARA,Stifel/ Piper Jaffray,1-31-14,$11.00,$12.91,$11.62,17.36%
Intrawest Resorts Holdings,SNOW,Goldman Sachs/ Deutsche Bank Securities/ BofA Merrill Lynch,1-31-14,$12.00,$11.90,$11.13,-0.83%
Malibu Boats,MBUU,Raymond James/ Wells Fargo Securities,1-31-14,$14.00,$17.75,$17.30,26.79%
New Home Company (The),NWHM,Citigroup/ J.P. Morgan/ Credit Suisse,1-31-14,$11.00,$12.20,$11.50,10.91%
Trevena,TRVN,Barclays/ Jefferies,1-31-14,$7.00,$6.50,$7.11,-7.14%
Ultragenyx Pharmaceutical,RARE,J.P. Morgan/ Morgan Stanley,1-31-14,$21.00,$42.25,$45.80,101.19%
Auspex Pharmaceuticals,ASPX,Stifel/ BMO Capital Markets,2-5-14,$11.00,$15.66,$14.49,42.36%
Biocept,BIOC,Aegis Capital,2-5-14,$10.00,$9.40,$10.00,-6.00%
Continental Building Products,CBPX,Citigroup/ Credit Suisse/ Barclays/ Deutsche Bank Securities/ RBC Capital Markets,2-5-14,$14.00,$15.19,$14.66,8.50%
Genocea Biosciences,GNCA,Citigroup/ Cowen and Company,2-5-14,$12.00,$11.00,$11.73,-8.33%
uniQure B.V.,QURE,Jefferies/ Leerink Swann,2-5-14,$17.00,$14.61,$17.00,-14.06%
CM Finance ,CMFN,"Raymond James/ Keefe, Bruyette & Woods (A Stifel Company)/ Oppenheimer",2-6-14,$15.00,$15.81,$15.30,5.40%
Egalet,EGLT,Stifel/ JMP Securities,2-6-14,$12.00,$12.00,$12.50,0.00%
Eleven Biotherapeutics,EBIO,Citigroup/ Cowen and Company/ Leerink Swann,2-6-14,$10.00,$10.85,$10.38,8.50%
Ladder Capital,LADR,Deutsche Bank Securities/ Citigroup/ Wells Fargo Securities/ BofA Merrill Lynch/ J.P. Morgan,2-6-14,$17.00,$16.99,$16.50,-0.06%
Revance Therapeutics,RVNC,Cowen and Company/ Piper Jaffray,2-6-14,$16.00,$26.85,$21.00,67.81%
Argos Therapeutics,ARGS,Piper Jaffray/ Stifel/ JMP Securities,2-7-14,$8.00,$8.00,$9.00,0.00%
NephroGenex,NRX,Aegis Capital Corp,2-11-14,$12.00,$11.54,$12.12,-3.83%
Eagle Pharmaceuticals,EGRX,Piper Jaffray/ William Blair,2-12-14,$15.00,$12.83,$15.50,-14.47%
Flexion Therapeutics,FLXN,BMO Capital Markets/ Wells Fargo Securities,2-12-14,$13.00,$14.71,$16.00,13.15%
Talmer Bancorp,TLMR,"Keefe, Bruyette & Woods (A Stifel Company )/ J.P.Morgan",2-12-14,$13.00,$13.80,$13.75,6.15%
Amedica,AMDA,JMP Securities,2-13-14,$5.75,$5.39,$6.16,-6.26%
Boulevard Acquisition,BLVDU,Citigroup,2-13-14,$10.00,$10.00,$10.50,0.00%
Concert Pharmaceuticals,CNCE,UBS Investment Bank/ Wells Fargo Securities,2-13-14,$14.00,$14.18,$15.75,1.29%
Installed Building Products,IBP,Deutsche Bank Securities/ UBS Investment Bank,2-13-14,$11.00,$12.80,$12.30,16.36%
Inogen,INGN,J.P. Morgan/ Leerink Swann,2-14-14,$16.00,$15.15,$16.00,-5.31%
Semler Scientific,SMLR,Aegis Capital Corp,2-21-14,$7.00,$6.99,$6.00,-0.14%
Lumenis Ltd.,LMNS,Goldman Sachs/ Credit Suisse/ Jefferies,2-27-14,$12.00,$12.15,$12.50,1.25%
Varonis Systems,VRNS,Morgan Stanley/ Barclays Capital/ Jefferies,2-28-14,$22.00,$44.00,$39.00,100.00%
TriplePoint Venture Growth BDC,TPVG,Morgan Stanley/ Wells Fargo Securities/ Goldman Sachs/ Credit Suisse/ UBS Investment Bank,3-6-14,$15.00,$15.65,$15.00,4.33%
Aquinox Pharmaceuticals,AQXP,Jefferies/ Cowen and Company,3-7-14,$11.00,$11.95,$11.80,8.64%
COUPONS.com,COUP,Goldman Sachs/ Allen & Company/ BofA Merrill Lynch/ RBC Capital Markets,3-7-14,$16.00,$30.00,$27.15,87.50%
Recro Pharma,REPH,Aegis Capital Corp,3-7-14,$8.00,$8.30,$8.53,3.75%
Achaogen,AKAO,Credit Suisse/ Cowen and Company,3-12-14,$12.00,$14.30,$12.85,19.17%
Dipexium Pharmaceuticals,DPRX,Oppenheimer & Co.,3-13-14,$12.00,$14.40,$14.60,20.00%
Galmed Pharmaceuticals,GLMD,Maxim Group LLC,3-13-14,$13.50,$14.31,$17.00,6.00%
Castlight Health,CSLT,Goldman Sachs/ Morgan Stanley,3-13-14,$16.00,$39.80,$37.50,148.75%
Paylocity Holding,PCTY,Deutsche Bank Securities/ BofA Merrill Lynch/ William Blair,3-19-14,$17.00,$24.04,$31.00,41.41%
Akebia Therapeutics,AKBA,Morgan Stanley/ Credit Suisse/ UBS Investment Bank,3-20-14,$17.00,$26.69,$22.90,57.00%
MediWound Ltd.,MDWD,Credit Suisse/ Jefferies/ BMO Capital Markets,3-20-14,$14.00,$17.27,$16.00,23.36%
Q2 Holdings,QTWO,J.P. Morgan/ Stifel,3-20-14,$13.00,$15.17,$16.25,16.69%
A10 Networks,ATEN,Morgan Stanley/ BofA Merrill Lynch/ J.P. Morgan Securities/ RBC Capital Markets,3-21-14,$15.00,$16.21,$13.75,8.07%
Amber Road,AMBR,Stifel,3-21-14,$13.00,$17.00,$17.50,30.77%
Borderfree,BRDR,Credit Suisse/ RBC Capital Markets/ Pacific Crest Securities,3-21-14,$16.00,$20.00,$21.00,25.00%
Ruthigen,RTGN,Dawson James Securities,3-21-14,$7.25,$7.25,$8.32,0.00%
TPG Specialty Lending,TSLX,J.P. Morgan/ BofA Merrill Lynch/ Goldman Sachs/ Citigroup/ Wells Fargo Securities/ Barclays,3-21-14,$16.00,$16.00,$16.05,0.00%
Versartis,VSAR,Morgan Stanley/ Citigroup,3-21-14,$21.00,$31.37,$28.00,49.38%
King Digital Entertainment plc   (KING),KING,J.P. Morgan/ Credit Suisse/ BofA Merrill Lynch/ Barclays/ Deutsche Bank/ RBC Capital Markets,3-26-14,$22.50,$19.00,$20.50,-15.56%
Nord Anglia Education,NORD,Credit Suisse/ Goldman Sachs/ J.P. Morgan,3-26-14,$16.00,$18.00,$17.50,12.50%
Applied Genetic Technologies,AGTC,BMO Capital Markets/ Wedbush PacGrow Life Sciences,3-27-14,$12.00,$14.76,$12.75,23.00%
Square 1 Financial,SQBK,"Sandler ONeill & Partners/ Keefe, Bruyette & Woods (A Stifel Company)",3-27-14,$18.00,$20.60,$20.00,14.44%
TriNet Group,TNET,J.P. Morgan/ Morgan Stanley/ Deutsche Bank Securities,3-27-14,$16.00,$19.10,$18.50,19.38%
"2U, Inc.",TWOU,Goldman Sachs/ Credit Suisse,3-28-14,$13.00,$13.98,$13.00,7.54%
Aerohive Networks,HIVE,Goldman Sachs/ BofA Merrill Lynch,3-28-14,$10.00,$10.00,$8.95,0.00%
Bluerock Residential Growth REIT,BRG,Wunderlich Securities,3-28-14,$14.50,$14.55,$14.58,0.34%
CBS Outdoor Americas,CSBSO,Goldman Sachs/ BofA Merrill Lynch/ J.P. Morgan/ Morgan Stanley,3-28-14,$28.00,$29.50,$30.10,5.36%
Energous,WATT,"MDB Capital Group, LLC",3-28-14,$6.00,$10.58,$9.50,76.33%
Everyday Health,EVDY,J.P. Morgan/ Credit Suisse/ Citigroup,3-28-14,$14.00,$13.50,$14.50,-3.57%
1347 Property Insurance Holdings,PIH,Aegis Capital Corp,4-1-14,$8.00,$7.95,$8.00,-0.62%
Rubicon Project (The),RUBI,"Morgan Stanley/ Goldman Sachs/ RBC Capital Markets, LLC",4-2-14,$15.00,$20.09,$17.50,33.93%
Corium International,CORI,Jefferies/ Leerink Partners,4-3-14,$8.00,$8.00,$8.26,0.00%
Tarena International,TEDU,Goldman Sachs (Asia)/ Credit Suisse,4-3-14,$9.00,$9.06,$9.86,0.67%
Five9,FIVN,J.P. Morgan/ Barclays/ BofA Merrill Lynch,4-4-14,$7.00,$7.64,$7.95,9.14%
Grubhub,GRUB,Citigroup/ Morgan Stanley,4-4-14,$26.00,$34.00,$40.00,30.77%
IMS Health Holdings,IMS,J.P. Morgan/ Goldman Sachs/ Morgan Stanley,4-4-14,$20.00,$23.00,$22.18,15.00%
Opower,OPWR,Morgan Stanley/ Goldman Sachs,4-4-14,$19.00,$23.00,$25.00,21.05%
iKang Healthcare Group,KANG,BofA Merrill Lynch/ UBS Investment Bank,4-9-14,$14.00,$15.20,$16.50,8.57%
La Quinta Holdings,LQ,J.P. Morgan/ Morgan Stanley/ BofA Merrill Lynch/ Citigroup/ Credit Suisse/ Deutsche Bank Securities/ Goldman Sachs/ Wells Fargo Securities,4-9-14,$17.00,$17.12,$16.50,0.71%
Adamas Pharmaceuticals,ADMS,Credit Suisse/ Piper Jaffray,4-10-14,$16.00,$14.01,$16.89,-12.44%
Ally Financial,ALLY,"Citigroup/ Goldman, Sachs/ Morgan Stanley/ Barclays/ Deutsche Bank Securities",4-10-14,$25.00,$23.98,$24.25,-4.08%
Cerulean Pharma,CERU,Leerink Partners,4-10-14,$7.00,$6.85,$7.10,-2.14%
Committed Capital Acquisition Corporation II,CCAQU,Broadband Capital Management LLC,4-11-14,$5.00,$5.05,$5.05,1.00%
"Enable Midstream Partners, LP",ENBL,Morgan Stanley/ Barclays/ Goldman Sachs,4-11-14,$20.00,$22.20,$21.50,11.00%
Farmland Partners,FPI,"Baird, BMO Capital Markets, Janney Montgomery Scott",4-11-14,$14.00,$12.98,$13.75,-7.29%
Phibro Animal Health,PAHC,BofA Merrill Lynch/ Morgan Stanley/ Barclays,4-11-14,$15.00,$17.00,$16.31,13.33%
Zoe's Kitchen,ZOES,Jefferies/ Piper Jaffray/ Baird,4-11-14,$15.00,$24.72,$25.65,64.80%
City Office REIT,CIO,Janney Montgomery Scott/ Wunderlich Securities/ Oppenheimer,4-15-14,$12.50,$12.40,$12.50,-0.80%
Paycom Software,PAYC,Barclays/ J.P. Morgan,4-15-14,$15.00,$15.35,$17.90,2.33%
Moelis,MC,Goldman Sachs/ Morgan Stanley/ Moelis & Company,4-16-14,$25.00,$26.15,$27.00,4.60%
Opus Bank,OPB,"J.P. Morgan Securities/ Credit Suisse/ Sandler ONeill & Partners/ Keefe, Bruyette & Woods, Inc. (A Stifel Company)",4-16-14,$30.00,$29.33,$30.00,-2.23%
TriVascular Technologies,TRIV,J.P. Morgan/ Credit Suisse,4-16-14,$12.00,$13.79,$11.35,14.92%
Leju Holdings Limited,LEJU,Credit Suisse/ J.P. Morgan,4-17-14,$10.00,$11.86,$10.80,18.60%
Sabre,SABR,Morgan Stanley/ Goldman Sachs/ BofA Merrill Lynch/ Deutsche Bank Securities,4-17-14,$16.00,$16.50,$16.79,3.13%
Sportsmans Warehouse Holdings,SPWH,Credit Suisse/ Goldman Sachs,4-17-14,$9.50,$9.75,$9.50,2.63%
Vital Therapies,VTL,BofA Merrill Lynch/ Credit Suisse,4-17-14,$12.00,$12.00,$12.25,0.00%
Weibo,WB,Goldman Sachs (Asia)/ Credit Suisse,4-17-14,$17.00,$20.24,$16.27,19.06%
Quotient,QTNTU,UBS Investment Bank/ Baird/ Cowen,4-25-14,$8.00,$7.45,$7.90,-6.88%
Aldeyra Therapeutics,ALDX,Aegis Capital Corp,5-2-14,$8.00,$7.20,$7.50,-10.00%
"Ares Management, L.P.",ARES,J.P. Morgan/ BofA Merrill Lynch/ Goldman Sachs/ Morgan Stanley/ Wells Fargo Securities,5-2-14,$19.00,$18.60,$18.15,-2.11%
Papa Murphy's Holdings,FRSH,Jefferies/ Baird/ Wells Fargo Securities,5-2-14,$11.00,$11.05,$12.10,0.45%
SCYNEXIS,SCYX,RBC Capital Markets/ Canaccord Genuity,5-2-14,$10.00,$9.00,$9.65,-10.00%
GasLog Partners LP,GLOP,Citigroup,5-7-14,$21.00,$26.11,$25.50,24.33%
Alder BioPharmaceuticals,ALDR,Credit Suisse/ Leerink Partners,5-8-14,$10.00,$10.03,$10.35,0.30%
Cheetah Mobile,CMCM,Morgan Stanley/ J.P. Morgan/ Credit Suisse,5-8-14,$14.00,$14.10,$15.25,0.71%
K2M Group Holdings,KTWO,Piper Jaffray/ Barclays/ Wells Fargo Securities,5-8-14,$15.00,$15.00,$15.00,0.00%
Alcentra Capital,ABDC,"Raymond James/ Robert W. Baird/ Keefe, Bruyette & Woods (A Stifel Company )",5-9-14,$15.00,$15.05,$15.00,0.33%
Tuniu,TOUR,Morgan Stanley/ Credit Suisse/ China Renaissance,5-9-14,$9.00,$10.07,$9.00,11.89%
PBF Logistics LP,PBFX,Barclays/ UBS Investment Bank,5-9-14,$23.00,$27.68,$28.00,20.35%
ServisFirst Bancshares,SFBS,Sandler ONeill & Partners,5-14-14,$91.00,$85.00,$91.00,-6.59%
Zendesk,ZEN,Goldman Sachs/ Morgan Stanley/ Credit Suisse,5-15-14,$9.00,$13.43,$11.40,49.22%
Jumei International Holding,JMEI,Goldman Sachs (Asia)/ Credit Suisse/ J.P. Morgan,5-16-14,$22.00,$24.18,$27.74,9.91%
TrueCar,TRUE,Goldman Sachs/ J.P. Morgan,5-16-14,$9.00,$10.06,$9.70,11.78%
JD.com,JD,BofA Merrill Lynch/ UBS Investment Bank,5-22-14,$19.00,$20.90,$21.70,10.00%
SunEdison Semiconductor,SEMI,Deutsche Bank Securities/ Goldman Sachs/ Wells Fargo Securities,5-22-14,$13.00,$15.00,$15.01,15.38%
Agile Therapeutics,AGRX,RBC Capital Markets/ William Blair & Company,5-23-14,$6.00,$5.54,$5.50,-7.67%
Heritage Insurance Holdings,HRTG,Citigroup,5-23-14,$11.00,$11.50,$11.55,4.55%
Parsley Energy,PE,Credit Suisse/ Goldman Sachs/ J.P. Morgan/ Wells Fargo Securities,5-23-14,$18.50,$22.20,$22.30,20.00%
Superior Drilling Products,SDPI,"Roth Capital Partners, LLC",5-23-14,$4.00,$4.49,$4.00,12.25%
Arista Networks,ANET,Morgan Stanley/ Citigroup,6-6-14,$43.00,$55.00,$55.25,27.91%
Radius Health,RDUS,Jefferies/ Cowen and Company,6-6-14,$8.00,$8.01,$8.05,0.12%
WL Ross Holding,WLRHU,Deutsche Bank Securities/ BofA Merrill Lynch,6-6-14,$10.00,$10.15,$10.80,1.50%
Mobile Iron,MOBL,Morgan Stanley/ Goldman Sachs/ Deutsche Bank Securitie/ Barclays,6-12-14,$9.00,$11.02,$10.00,22.44%
Trinseo S.A.,TSE,Goldman Sachs/ Deutsche Bank Securities/ Citigroup/ Morgan Stanley/ Barclays/ BofA Merrill Lynch/ HSBC/ Jefferies/ Mizuho Securities/ Scotiabank/ SMBC Nikko/ Wells Fargo Securities,6-12-14,$19.00,$20.25,$20.43,6.58%
Zhaopin Ltd,ZPIN,Credit Suisse/ UBS Investment Bank,6-12-14,$13.50,$14.65,$14.51,8.52%
Abengoa Yield plc,ABY,Citigroup/ BofA Merrill Lynch,6-13-14,$29.00,$37.00,$35.15,27.59%
Aspen Aerogels,ASPN,Barclays/ J.P. Morgan/ Citigroup,6-13-14,$11.00,$10.75,$11.00,-2.27%
