Company,Symbol,Managers,Offer Date,Offer Price,1st Day Close,Current Price,Return
Opnext,OPXT,Goldman Sachs,2-14-07,$15.00,$17.40,$17.00,16.00%
Quadra Realty Trust,QRR,Credit Suisse/Wachovia,2-14-07,$15.00,$15.25,$15.00,1.67%
Salary.com,SLRY,Thomas Weisel Partners/William Blair,2-15-07,$10.50,$12.50,$13.50,19.05%
Rosetta Genomics,ROSG,"C.E. Unterberg, Towbin",2-26-07,$7.00,$7.32,$7.02,4.57%
Clearwire,CLWR,Merrill Lynch/Morgan Stanley/JPMorgan,3-7-07,$25.00,$24.60,$27.25,-1.60%
Xinhua Finance Media Limited,XFML,JPMorgan/UBS Investment Bank,3-8-07,$13.00,$11.35,$13.00,-12.69%
Sourcefire,FIRE,Morgan Stanley/Lehman Brothers,3-8-07,$15.00,$16.45,$15.00,9.67%
BigBand Networks,BBND,Morgan Stanley/Merrill Lynch,3-14-07,$13.00,$17.00,$15.25,30.77%
FCStone Group,FCSX,BMO Capital Markets/Banc of America,3-15-07,$24.00,$31.13,$29.32,29.71%
Tongjitang Chinese Medicines,TCM,Merrill Lynch/UBS Investment Bank,3-15-07,$10.00,$9.75,$10.00,-2.50%
"Cheniere Energy Partners, L.P.",CQP,Citigroup/Merrill Lynch/Credit Suisse,3-20-07,$21.00,$21.71,$22.00,3.38%
Glu Mobile,GLUU,Goldman Sachs/Lehman Brothers,3-21-07,$11.50,$12.29,$11.50,6.87%
CastlePoint Holdings,CPHL,Friedman Billings Ramsey,3-22-07,$14.50,$16.15,$15.60,11.38%
Aruba Networks,ARUN,Goldman Sachs/Lehman Brothers,3-26-07,$11.00,$14.15,$14.00,28.64%
eTelecare Global Solutions,ETEL,Morgan Stanley,3-27-07,$13.50,$14.55,$13.75,7.78%
SenoRx,SENO,Banc of America/Citigroup,3-28-07,$8.00,$8.03,$8.18,0.37%
Super Micro Computer,SMCI,Merrill Lynch,3-28-07,$8.00,$8.76,$8.85,9.50%
Flagstone Reinsurance Holdings,FSR,Lehman Brothers/Citigroup,3-29-07,$13.50,$13.48,$13.50,-0.15%
Capital Products Partners L.P.,CPLP,Merrill Lynch/UBS Investment Bank,3-29-07,$21.50,$26.75,$26.00,24.42%
GSI Technology,GSIT,Needham/WRHambrecht+Co,3-29-07,$5.50,$5.29,$5.50,-3.82%
Veraz Networks,VRAZ,Credit Suisse/Lehman Brothers,4-4-07,$8.00,$7.80,$8.00,-2.50%
Tailwind Financial,TFN-U,Deutsche Bank,4-11-07,$8.00,$7.92,$7.80,-1.00%
Comverge,COMV,Citigroup,4-12-07,$18.00,$22.31,$21.00,23.94%
MBF Healthcare Acquisition,MBH-U,Merrill Lymch/Morgan Joseph/Ladenberg Thalmann,4-17-07,$8.00,$8.02,$8.00,0.25%
MetroPCS Communications,PCS,Bear Stearns,4-18-07,$23.00,$27.40,$25.10,19.13%
Pinpoint Advance,PPACU,Maxim Group,4-19-07,$10.00,$10.50,$10.00,5.00%
Pinpoint Advance,PPACU,Maxim Group,4-19-07,$10.00,$10.05,$10.00,0.50%
China Healthcare Acquisition,CHM-U,Ferris Baker Watts,4-19-07,$6.00,$6.06,$6.00,1.00%
Simcere Pharmaceutical Group (SCR),SCR,Goldman Sachs (Asia),4-19-07,$14.50,$15.30,$15.00,5.52%
