Symbol,Company,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,T-10Days,T-90Days,T+100Days,SPY 90D Return,100 day Return
MSP,Datto Holding Corp.,Technology,2020-10-21,22.0,$27.00,$27.10,$23.83,-11.74%,2020-10-11,2020-07-29,2021-01-29,0.0711073763518034,-0.08634686788373337
YGMZ,MingZhu Logistics Holdings,Consumer Services,2020-10-21,3.0,$4.00,$4.25,$4.08,2.00%,2020-10-11,2020-07-29,2021-01-29,0.0711073763518034,6.905881993910846
HLXA,HELIX ACQUISITION CORP.,Blank Check,2020-10-20,10.0,$10.00,$10.49,$10.06,0.60%,2020-10-10,2020-07-28,2021-01-28,0.08428058503046584,0.043851291533244685
ALGS,"Aligos Therapeutics, Inc.",Health Care,2020-10-16,10.0,$15.00,$14.85,$23.23,54.87%,2020-10-06,2020-07-24,2021-01-24,0.06307654663940229,1.2121210525430222
EAR,"Eargo, Inc.",Health Care,2020-10-16,7.9,$18.00,$33.68,$48.04,166.89%,2020-10-06,2020-07-24,2021-01-24,0.06307654663940229,0.8705463013406939
KRBP,Kiromic Biopharma,Health Care,2020-10-16,1.3,$12.00,$11.50,$8.70,-27.50%,2020-10-06,2020-07-24,2021-01-24,0.06307654663940229,-0.19739134415336276
PRAX,"PRAXIS PRECISION MEDICINES, INC.",Health Care,2020-10-16,10.0,$19.00,$27.80,$29.55,55.53%,2020-10-06,2020-07-24,2021-01-24,0.06307654663940229,1.0305756227390543
TARS,"TARSUS PHARMACEUTICALS, INC.",Health Care,2020-10-16,5.5,$16.00,$20.58,$29.45,84.06%,2020-10-06,2020-07-24,2021-01-24,0.06307654663940229,0.9786200860864849
ARRY,"ARRAY TECHNOLOGIES, INC.",Industrials,2020-10-15,47.5,$22.00,$36.45,$26.23,19.23%,2020-10-05,2020-07-23,2021-01-23,0.037826250946900584,0.40054864659881284
MNSO,MINISO Group Holding Limited,Consumer Goods,2020-10-15,30.4,$20.00,$20.88,$23.98,19.90%,2020-10-05,2020-07-23,2021-01-23,0.037826250946900584,0.45498086119900066
CDAK,"Codiak BioSciences, Inc.",Health Care,2020-10-14,5.5,$15.00,$12.12,$11.72,-21.87%,2020-10-04,2020-07-22,2021-01-22,0.025443271147767156,1.134488538243088
IH,iHuman Inc.,Consumer Services,2020-10-09,7.0,$12.00,$16.00,$12.16,1.33%,2020-09-29,2020-07-17,2021-01-17,0.04291861153002121,0.1487499475479126
KRON,"Kronos Bio, Inc.",Health Care,2020-10-09,13.2,$19.00,$27.07,$20.08,5.68%,2020-09-29,2020-07-17,2021-01-17,0.04291861153002121,0.16623568713450704
