Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return
"SERA PROGNOSTICS, INC.",SERA,Health Care,7/15/2021,4.7,$16.00,$11.90,$2.18,-86.38%
"Sight Sciences, Inc.",SGHT,Health Care,7/15/2021,10,$24.00,$33.50,$8.15,-66.04%
ARYA Sciences Acquisition Corp V,ARYE,Blank Check,7/13/2021,13,$10.00,$10.05,$9.71,-2.90%
Sentage Holdings Inc.,SNTG,Financials,7/9/2021,4,$5.00,$34.89,$0.76,-84.80%
"Transcode Therapeutics, Inc.",RNAZ,Health Care,7/9/2021,6.3,$4.00,$5.29,$2.69,-32.75%
AltC Acquisition Corp. (formerly Churchill Capital Corp. VIII),ALCC,Blank Check,7/8/2021,45,$10.00,$9.98,$9.73,-2.70%
Moving iMage Technologies,MITQ,Consumer Goods,7/8/2021,4.2,$3.00,$24.00,$1.59,-47.00%
NYXOAH SA,NYXH,Health Care,7/2/2021,2.8,$30.00,$30.11,$17.22,-42.60%
"Acumen Pharmaceuticals, Inc.",ABOS,Health Care,7/1/2021,10,$16.00,$20.10,$4.11,-74.31%
D-MARKET Electronic Services & Trading (Hepsiburada),HEPS,Consumer Goods,7/1/2021,56.7,$12.00,$13.43,$1.98,-83.50%
Eco Wave Power Global AB,WAVE,Technology,7/1/2021,1,$8.00,$10.85,$5.93,-25.88%
EverCommerce Inc.,EVCM,Technology,7/1/2021,19.1,$17.00,$17.60,$12.96,-23.76%
"Krispy Kreme, Inc.",DNUT,Consumer Goods,7/1/2021,29.4,$17.00,$21.00,$14.35,-15.59%
"The Glimpse Group, Inc.",VRAR,Technology,7/1/2021,1.8,$7.00,$17.66,$4.97,-29.00%
Torrid Holdings,CURV,Consumer Goods,7/1/2021,11,$21.00,$24.15,$6.03,-71.29%
"Aerovate Therapeutics, Inc.",AVTE,Health Care,6/30/2021,8.7,$14.00,$22.83,$14.20,1.43%
"Clear Secure, Inc.",YOU,Technology,6/30/2021,13.2,$31.00,$40.00,$29.20,-5.81%
"CVRx, Inc.",CVRX,Health Care,6/30/2021,7,$18.00,$28.00,$4.85,-73.06%
DiDi Global Inc.,DIDI,Technology,6/30/2021,317,$14.00,$14.14,$1.72,-87.71%
Integral Ad Science Holding,IAS,Technology,6/30/2021,15,$18.00,$20.58,$12.40,-31.11%
"LegalZoom.com, Inc",LZ,Technology,6/30/2021,19.1,$28.00,$37.85,$14.29,-48.96%
"Pop Culture Group Co., Ltd",CPOP,Consumer Services,6/30/2021,6.2,$6.00,$30.30,$1.12,-81.33%
SentinelOne,S,Technology,6/30/2021,35,$35.00,$42.50,$32.68,-6.63%
Social Capital Suvretta Holdings Corp. I,DNAA,Blank Check,6/30/2021,22,$10.00,$10.11,$9.88,-1.20%
Social Capital Suvretta Holdings Corp. II,DNAB,Blank Check,6/30/2021,22,$10.00,$10.12,$9.72,-2.80%
Social Capital Suvretta Holdings Corp. IV,DNAD,Blank Check,6/30/2021,22,$10.00,$10.10,$9.76,-2.40%
"Xometry, Inc.",XMTR,Industrials,6/30/2021,6.9,$44.00,$87.39,$36.79,-16.39%
Dingdong (Cayman) Limited,DDL,Consumer Services,6/29/2021,3.7,$23.50,$23.52,$5.15,-78.09%
Gobi Acquisition Corp.,GOBI,Blank Check,6/29/2021,25,$10.00,$9.91,$9.73,-2.70%
"Acurx Pharmaceuticals, LLC*",ACXP,Health Care,6/25/2021,2.5,$6.00,$7.89,$4.00,-33.33%
"Alpha Teknova, Inc.",TKNO,Health Care,6/25/2021,6,$16.00,$25.00,$13.15,-17.81%
"Elevation Oncology, Inc.",ELEV,Health Care,6/25/2021,6.3,$16.00,$11.44,$2.33,-85.44%
GH Research PLC,GHRS,Health Care,6/25/2021,10,$16.00,$19.25,$17.00,6.25%
"Graphite Bio, Inc.",GRPH,Health Care,6/25/2021,14,$17.00,$18.50,$4.00,-76.47%
Missfresh Limited,MF,Consumer Services,6/25/2021,21,$13.00,$9.66,$0.93,-92.85%
"Mister Car Wash, Inc.",MCW,Consumer Services,6/25/2021,37.5,$15.00,$20.30,$14.53,-3.13%
Bon Natural Life Limited,BON,Consumer Services,6/24/2021,2.2,$5.00,$7.20,$3.60,-28.00%
Bright Health Group,BHG,Health Care,6/24/2021,51.4,$18.00,$16.64,$1.78,-90.11%
"Confluent, Inc.",CFLT,Technology,6/24/2021,23,$36.00,$45.02,$34.06,-5.39%
"Doximity, Inc.",DOCS,Technology,6/24/2021,23.3,$26.00,$53.00,$44.62,71.62%
"GROVE, INC.",GRVI,Consumer Goods,6/24/2021,2.2,$5.00,$5.60,$4.30,-14.00%
Miromatrix Medical Inc.,MIRO,Health Care,6/24/2021,4.8,$9.00,$15.24,$3.67,-59.22%
Monte Rosa Therapeutics,GLUE,Health Care,6/24/2021,11.7,$19.00,$21.18,$12.50,-34.21%
Coliseum Acquisition Corp.,MITAU,Blank Check,6/23/2021,15,$10.00,$9.90,$9.81,-1.90%
First Advantage Corp.,FA,Other,6/23/2021,25.5,$15.00,$19.70,$17.73,18.20%
"Sprinklr, Inc.",CXM,Technology,6/23/2021,16.6,$16.00,$17.60,$13.03,-18.56%
Full Truck Alliance Co. Ltd.,YMM,Technology,6/22/2021,82.5,$19.00,$21.50,$5.08,-73.26%
AiHuiShou International Co. Ltd.,RERE,Consumer Goods,6/18/2021,16.2,$14.00,$17.21,$2.64,-81.14%
Ambrx Biopharma,AMAM,Health Care,6/18/2021,7,$18.00,$17.05,$3.81,-78.83%
ATAI Life Sciences B.V.*,ATAI,Health Care,6/18/2021,15,$15.00,$19.45,$4.78,-68.13%
"Century Therapeutics, Inc.",IPSC,Health Care,6/18/2021,10.6,$20.00,$0.00,$11.79,-41.05%
Codex DNA,DNAY,Health Care,6/18/2021,6.7,$16.00,$18.50,$4.13,-74.19%
Cyteir Therapeutics,CYT,Health Care,6/18/2021,7.4,$18.00,$17.40,$3.19,-82.28%
Femasys Inc.,FEMY,Health Care,6/18/2021,2.7,$13.00,$12.00,$1.57,-87.92%
Tremor International Ltd.,TRMR,Technology,6/18/2021,6.8,$19.00,$17.90,$13.07,-31.21%
"Angel Oak Mortgage, Inc.",AOMR,Financials,6/17/2021,8.1,$19.00,$18.65,$15.93,-16.16%
iSpecimen Inc.,ISPC,Health Care,6/17/2021,2.3,$8.00,$7.15,$3.80,-52.50%
"Lyell Immunopharma, Inc.",LYEL,Health Care,6/17/2021,25,$17.00,$16.89,$5.20,-69.41%
Verve Therapeutics,VERV,Health Care,6/17/2021,14,$19.00,$31.92,$16.51,-13.11%
